date,gain
2025-02-01,3191.3016090756137
2025-02-02,3674.6735812834595
2025-02-03,4428.339457404174
2025-02-04,5221.10949838032
2025-02-05,2221.6784126281855
2025-02-06,4801.780131923326
2025-02-07,3337.9130902893303
2025-02-08,-117.77136002559928
2025-02-09,608.0245043125251
2025-02-10,3963.988368955397
2025-02-11,3580.6048906891738
2025-02-12,2485.932209266364
2025-02-13,2636.2289267817614
2025-02-14,-745.1101804919854
2025-02-15,958.4302925111406
2025-02-16,2366.8736014504175
2025-02-17,5540.936984682703
2025-02-18,1742.8709020723472
2025-02-19,774.4500369465168
2025-02-20,1498.4263635726384
2025-02-21,257.4439467214688
2025-02-22,766.2589008359537
2025-02-23,2990.6930284205446
2025-02-24,2643.5769864206377
2025-02-25,4807.862931775788
2025-02-26,-1567.884300103513
2025-02-27,-753.6015307337948
2025-02-28,-281.21129532310806
2025-03-01,-640.0143457331214
2025-03-02,-884.1998142276716
2025-03-03,2888.393934228945
2025-03-04,-692.6168937241164
2025-03-05,-126.94132050561166
2025-03-06,-242.83142710357788
2025-03-07,55.79913499965187
2025-03-08,1215.4891033785898
2025-03-09,-1757.6555278024025
2025-03-10,3258.5100835045087
2025-03-11,21215.580369774492
2025-03-12,2499.9528924212427
2025-03-13,3892.395892825356
2025-03-14,-880.7942076229156
2025-03-15,509.34779195824376
2025-03-16,-3055.696615611756
2025-03-17,1491.977101554192
2025-03-18,734.2178054243777
2025-03-19,12729.873666398584
2025-03-20,2970.095961543062
2025-03-21,539.3377201986514
2025-03-22,-647.8674488782017
2025-03-23,2204.74762905619
2025-03-24,65.85143276079907
2025-03-25,2069.4265374968236
2025-03-26,2590.2757286419073
2025-03-27,-1996.9863931879809
2025-03-28,-200.6115247982707
2025-03-29,601.4791342798962
2025-03-30,608.9268579945419
2025-03-31,14645.778118226925
2025-04-01,-859.4033664146773
2025-04-02,-1401.2309832822648
2025-04-03,1754.477308779744
2025-04-04,-234.4390801347272
2025-04-05,-1498.4642386299092
2025-04-06,1774.9902164677842
2025-04-07,3936.778876227254
2025-04-08,1191.9849904032817
2025-04-09,-660.954229214236
2025-04-10,28.597602126086713
2025-04-11,-99.24482851211724
2025-04-12,116.66188101752232
2025-04-13,-1004.5826357254264
2025-04-14,337.31509551930503
2025-04-15,-683.1597991389717
2025-04-16,-1833.4759432201827
2025-04-17,7754.247013623783
2025-04-18,-666.9580445744523
2025-04-19,-166.8172614752275
2025-04-20,177.72096633882757
2025-04-21,1138.5035978384185
2025-04-22,6263.70485470233
2025-04-23,6820.620355583
2025-04-24,829.0750108458378
2025-04-25,73.92909983087156
2025-04-26,-179.08013644778293
2025-04-27,4503.186338774853
2025-04-28,-455.17573205171357
2025-04-29,1718.69744590568
2025-04-30,-682.6273727630032
2025-05-01,5718.444778159632
2025-05-02,2378.439145826669
